Image,Cosine_score,Deciphered_count,original_count,levenshtein_distance,time
Autumn1_P2GlobalWarming.txt,0.8429711822350008,574,573,8,12.06205153465271
GreenlandIceSheet_P5Tamil.txt,0.9325629856237416,718,714,14,14.27734637260437
Autumn1_P5Tamil.txt,0.9340951610810182,719,714,12,14.201868772506714
GreenlandIceSheet_Sensore.txt,0.9285714285714286,73,73,1,1.4316086769104004
FamilyRunningMAsk_rule.txt,0.82915619758885,50,49,1,1.1273396015167236
Autumn3_P1ChildLabour.txt,0.8494519571176349,720,715,14,14.804996967315674
RainyLondon_skills.txt,1.0,56,56,0,1.2179551124572754
Pumpkin1_skills.txt,1.0,56,56,0,1.2801074981689453
Autumn1_P1ChildLabour.txt,0.8448353703941696,720,715,15,14.309221744537354
Autumn1_skills.txt,1.0,56,56,0,1.3001062870025635
FamilyRunningMAsk_skills.txt,1.0,56,56,0,1.277176856994629
GreenlandIceSheet_rule.txt,0.82915619758885,50,49,1,1.1180846691131592
Pumpkin1_P2GlobalWarming.txt,0.8429711822350008,574,573,8,11.415743827819824
GreelanIceCap_Level.txt,0.9073713564728599,399,396,14,7.684232473373413
Kids_P5Tamil.txt,0.9357676694231359,718,714,11,14.056356430053711
FamilyRunningMAsk_Sensore.txt,1.0,73,73,0,1.3887133598327637
GreelanIceCap_Sensore.txt,1.0,77,73,4,1.4840238094329834
Kids_skills.txt,1.0,56,56,0,1.224496603012085
Autumn3_P4Europe.txt,0.9454730171937421,595,595,5,12.276076793670654
RainyLondon_States.txt,0.9666666666666667,282,282,1,5.921543121337891
Kids_P2GlobalWarming.txt,0.8365362877141229,574,573,9,11.409811735153198
GreenlandIceSheet_Level.txt,0.9235488688018694,396,396,6,7.668255567550659
GreelanIceCap_States.txt,0.8391463916782737,283,282,8,5.67992901802063
RainyLondon_P4Europe.txt,0.9454730171937421,595,595,6,12.076170206069946
RainyLondon_Sensore.txt,1.0,73,73,0,1.6629729270935059
RainyLondon_Level.txt,0.9073713564728599,398,396,8,7.766225337982178
FamilyRunningMAsk_Workflow.txt,0.8017837257372731,66,66,0,1.3722660541534424
GreelanIceCap_Workflow.txt,0.4999999999999999,70,66,6,1.370821237564087
Autumn1_P3Interlaken.txt,0.931854787382905,583,580,11,11.563498497009277
dog_Workflow.txt,0.8017837257372731,66,66,0,1.3215677738189697
Pumpkin1_P4Europe.txt,0.9454730171937421,595,595,4,11.909825086593628
Autumn1_rule.txt,0.82915619758885,50,49,1,1.1325757503509521
Kids_P1ChildLabour.txt,0.8494519571176349,720,715,13,14.368667364120483
RainyLondon_Workflow.txt,0.8017837257372731,66,66,0,1.3702304363250732
RainyLondon_P5Tamil.txt,0.9262748871091626,718,714,13,14.105224847793579
Pumpkin1_P5Tamil.txt,0.9357676694231359,718,714,11,14.190168857574463
Autumn1_States.txt,0.9666666666666667,282,282,1,5.723373651504517
GreenlandIceSheet_P3Interlaken.txt,0.9258702013036885,583,580,12,11.806998491287231
RainyLondon_P2GlobalWarming.txt,0.833521732728752,575,573,11,11.316987752914429
