Image,Cosine_score,Deciphered_count,original_count,levenshtein_distance,time
Autumn3_P4Europe.txt,0.9454730171937421,595,595,5,12.129300594329834
RainyLondon_States.txt,0.9666666666666667,282,282,1,5.934305667877197
Kids_P2GlobalWarming.txt,0.8365362877141229,574,573,9,11.558674097061157
GreenlandIceSheet_Level.txt,0.9235488688018694,396,396,6,8.070579528808594
GreelanIceCap_States.txt,0.8391463916782737,283,282,8,6.005779266357422
RainyLondon_P4Europe.txt,0.9454730171937421,595,595,6,12.308373212814331
RainyLondon_Sensore.txt,1.0,73,73,0,1.4926910400390625
RainyLondon_Level.txt,0.9073713564728599,398,396,8,8.445305109024048
FamilyRunningMAsk_Workflow.txt,0.8017837257372731,66,66,0,1.3985388278961182
GreelanIceCap_Workflow.txt,0.4999999999999999,70,66,6,1.2143890857696533
Autumn1_P3Interlaken.txt,0.931854787382905,583,580,11,12.420865297317505
dog_Workflow.txt,0.8017837257372731,66,66,0,1.3851869106292725
Pumpkin1_P4Europe.txt,0.9454730171937421,595,595,4,12.046107769012451
Autumn1_rule.txt,0.82915619758885,50,49,1,1.1953034400939941
Kids_P1ChildLabour.txt,0.8494519571176349,720,715,13,14.528139352798462
RainyLondon_Workflow.txt,0.8017837257372731,66,66,0,1.3607783317565918
RainyLondon_P5Tamil.txt,0.9262748871091626,718,714,13,14.781355142593384
Pumpkin1_P5Tamil.txt,0.9357676694231359,718,714,11,14.688555717468262
Autumn1_States.txt,0.9666666666666667,282,282,1,6.0710508823394775
GreenlandIceSheet_P3Interlaken.txt,0.9258702013036885,583,580,12,10.521107196807861
RainyLondon_P2GlobalWarming.txt,0.833521732728752,575,573,11,11.88676142692566
