Image,Cosine_score,Deciphered_count,original_count,levenshtein_distance,time
Autumn1_P3Interlaken.txt,0.931854787382905,583,580,11,11.401712417602539
dog_Workflow.txt,0.8017837257372731,66,66,0,1.2656841278076172
Pumpkin1_P4Europe.txt,0.9454730171937421,595,595,4,10.560298204421997
Autumn1_rule.txt,0.82915619758885,50,49,1,1.0690662860870361
Kids_P1ChildLabour.txt,0.8494519571176349,720,715,13,14.851996183395386
RainyLondon_Workflow.txt,0.8017837257372731,66,66,0,1.2998340129852295
RainyLondon_P5Tamil.txt,0.9262748871091626,718,714,13,14.043588876724243
Pumpkin1_P5Tamil.txt,0.9357676694231359,718,714,11,12.53806734085083
Autumn1_States.txt,0.9666666666666667,282,282,1,5.055383682250977
GreenlandIceSheet_P3Interlaken.txt,0.9258702013036885,583,580,12,10.084601163864136
RainyLondon_P2GlobalWarming.txt,0.833521732728752,575,573,11,10.138824701309204
